protein_id	source	ncbi_taxid	genus	species	strain_or_gene	assembly	description	source_accession
Obelisk_000236_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000236_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR11867987
Obelisk_000237_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980220
Obelisk_000237_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980220
Obelisk_000237_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Bos taurus | notes=.	ERR3555903
Obelisk_000237_000001_000002_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Bos taurus | notes=.	ERR3555903
Obelisk_000237_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Bos taurus | notes=.	ERR3555915
Obelisk_000237_000001_000003_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Bos taurus | notes=.	ERR3555915
Obelisk_000237_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR11059937
Obelisk_000237_000001_000004_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR11059937
Obelisk_000237_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR11060116
Obelisk_000237_000001_000005_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR11060116
Obelisk_000237_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR11060117
Obelisk_000237_000001_000006_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR11060117
Obelisk_000237_000001_000007_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=sheep gut metagenome | notes=.	SRR12118741
Obelisk_000237_000001_000007_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=sheep gut metagenome | notes=.	SRR12118741
Obelisk_000237_000001_000008_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980219
Obelisk_000237_000001_000008_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980219
Obelisk_000237_000001_000009_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980221
Obelisk_000237_000001_000009_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980221
Obelisk_000237_000001_000010_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980222
Obelisk_000237_000001_000010_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980222
Obelisk_000237_000001_000011_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000011	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980223
Obelisk_000237_000001_000011_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000011	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980223
Obelisk_000237_000001_000012_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000012	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980224
Obelisk_000237_000001_000012_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000012	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12980224
Obelisk_000237_000001_000013_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000013	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR7971121
Obelisk_000237_000001_000013_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000013	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR7971121
Obelisk_000237_000001_000014_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000014	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR8580849
Obelisk_000237_000001_000014_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000014	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR8580849
Obelisk_000237_000001_000015_1	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000015	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR873465
Obelisk_000237_000001_000015_2	OBELISK	32644	NA	NA	.	Obelisk_000237_000001_000015	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR873465
Obelisk_000238_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000238_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010916
Obelisk_000238_000002_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000238_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010916
Obelisk_000238_000002_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000238_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010916
Obelisk_000238_000002_000002_1	OBELISK	32644	NA	NA	.	Obelisk_000238_000002_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010909
Obelisk_000238_000002_000003_1	OBELISK	32644	NA	NA	.	Obelisk_000238_000002_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010911
Obelisk_000239_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_000239_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158631
Obelisk_000239_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_000239_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158631
