species	taxid	accession	fetch_source	note
Norwalk virus	11983		ncbi	
Orthoflavivirus nilense	3048448		ncbi	
Orthohantavirus puumalaense	3052493		ncbi	
Orthomarburgvirus marburgense	3052505		ncbi	
Orthopicobirnavirus hominis	2956252		ncbi	
Orthopneumovirus hominis	3049954		ncbi	
Parechovirus A	1803956		ncbi	
Pegivirus hominis	3052608		ncbi	
Poliovirus	138950	NC_002058	ncbi	
Polyomavirus	36362		ncbi	
Primate T-lymphotropic virus 1	194440		ncbi	
Protoparvovirus sp.	1987106	PQ310103	ncbi	human oral isolate sequence
human respiratory syncytial virus	11250	NC_001781	ncbi	
Respirovirus laryngotracheitidis	3049952		ncbi	
Respirovirus pneumoniae	3049953		ncbi	
Rhinovirus A	147711		ncbi	
Rhinovirus B	147712		ncbi	
Rhinovirus C	463676		ncbi	
Roseolovirus humanbeta7	3050298		ncbi	
Rotavirus A	28875		ncbi	
Rubella virus	11041	NC_001545	ncbi	
Salivirus A	1330524		ncbi	
Severe acute respiratory syndrome coronavirus	2901879		ncbi	
Simian foamy virus	11642		ncbi	
Simplexvirus humanalpha1	3050292		ncbi	
Small anellovirus	393049		ncbi	
Variola virus	10255	NC_001611	ncbi	
St. Louis encephalitis virus	11080		ncbi	
Statovirus sp.	2747383	OR367719	ncbi	
Tetraparvovirus primate1	3052770		ncbi	
Torque teno midi virus	432261	MN165095	ncbi	
Torque teno mini virus	93678		ncbi	
Torque teno mini virus ALA22	1535290		ncbi	
Torque teno mini virus ALH8	1535291		ncbi	
Torque teno virus	68887		ncbi	
Torque teno virus 13	687352		ncbi	
Torque teno virus 16	687355		ncbi	
Torque teno virus 24	687363		ncbi	
Torque teno virus 5	687344		ncbi	
TTV-like mini virus	93678		ncbi	
Vaccinia virus	10245		ncbi	
Varicella-zoster virus	10335	NC_001348	ncbi	
Varicellovirus humanalpha3	3050294		ncbi	
Vesiculovirus chandipura	1972576		ncbi	
Vientovirus	2732655		ncbi	
Cytomegalovirus	10358		ncbi	
Zaire ebolavirus	186538		ncbi	
Zika virus	64320		ncbi	
